Wavelength / nm	 Spectral irradiance / nW m^{-2} nm^{-1}
200.56	0
201.25	0
201.94	102.648
202.63	23.507
203.32	86.941
204.01	140.073
204.71	0
205.4	35.435
206.09	0
206.77	0
207.46	293.899
208.15	88.749
208.85	0
209.54	0
210.23	0
210.92	137.264
211.61	143.375
212.29	34.417
212.99	231.031
213.68	622.037
214.37	840.477
215.06	1254.552
215.75	626.59
216.43	134.863
217.13	0
217.82	0
218.51	0
219.2	0
219.88	88.447
220.57	0
221.27	0
221.96	188.14
222.65	434.468
223.33	909.934
224.02	1672.174
224.72	3204.062
225.41	5697.987
226.09	7597.133
226.78	6824.186
227.47	3690.62
228.15	1129.545
228.85	211.645
229.54	111.06
230.23	11.379
230.91	97.964
231.6	107.724
232.29	193.342
232.98	525.301
233.67	1075.125
234.36	2436.473
235.04	5344.03
235.73	9182.732
236.42	10874.636
237.11	7993.534
237.8	3427.957
238.49	759.092
239.17	97.598
239.86	59.699
240.54	77.235
241.24	50.514
241.93	97.022
242.61	166.308
243.3	377.553
243.98	687.899
244.67	1158.177
245.36	2439.074
246.05	5070.591
246.74	7944.6
247.42	8272.239
248.11	5369.305
248.79	1995.473
249.48	377.031
250.17	69.874
250.86	20.505
251.54	49.708
252.23	47.313
252.91	86.397
253.6	138.804
254.28	315.436
254.98	488.821
255.66	631.478
256.35	828.53
257.03	1539.734
257.72	3183.452
258.4	4976.756
259.08	5110.04
259.78	3274.041
260.46	1166.258
261.15	248.471
261.83	63.492
262.52	37.306
263.2	11.326
263.88	27.427
264.57	51.584
265.26	117.471
265.94	171.902
266.63	280.928
267.31	346.505
268	326.982
268.68	323.427
269.36	601.453
270.05	1230.286
270.74	2195.44
271.42	2584.209
272.11	1995.073
272.79	960.964
273.47	248.556
274.16	37.29
274.84	40.129
275.52	30.66
276.2	3.044
276.9	30.207
277.58	73.453
278.26	55.064
278.95	97.559
279.63	136.43
280.31	183.66
280.99	186.652
281.68	137.99
282.36	155.731
283.05	266.885
283.73	578.134
284.41	956.4
285.1	1132.471
285.78	833.374
286.46	383.969
287.14	105.938
287.82	52.467
288.51	37.285
289.2	26.338
289.88	16.939
290.56	18.052
291.24	25.532
291.92	42.985
292.61	28.798
293.29	84.392
293.97	99.691
294.65	91.561
295.33	120.06
296.01	71.042
296.7	68.173
297.38	133.149
298.06	183.22
298.74	275.255
299.43	425.741
300.11	397.674
300.79	328.757
301.47	132.361
302.15	38.883
302.83	21.607
303.51	4.524
304.2	22.502
304.88	7.836
305.56	24.508
306.24	12.195
306.92	18.791
307.6	46.261
308.28	47.188
308.96	90.763
309.64	63.216
310.32	57.604
311	59.588
311.68	49.666
312.37	87.243
313.05	116.944
313.73	147.816
314.41	253.357
315.09	405.554
315.77	484.722
316.45	344.665
317.12	165.728
317.8	72.163
318.48	14.847
319.16	5.3
319.84	28.602
320.52	1.059
321.21	0
321.89	0
322.57	7.439
323.24	0
323.92	31.919
324.6	9.558
325.28	9.531
325.96	7.394
326.64	14.74
327.31	0
327.99	40.729
328.67	10.397
329.35	8.284
330.03	7.217
330.71	21.599
331.39	26.704
332.07	51.255
332.75	79.819
333.43	132.728
334.1	189.453
334.78	362.467
335.46	677.008
336.14	1147.658
336.81	1441.08
337.49	1101.061
338.17	503.664
338.85	188.066
339.53	83.281
340.21	60.083
340.89	34.991
341.56	29.981
342.24	25.971
342.92	1
343.59	16.996
344.27	30.984
344.95	0.999
345.62	0.996
346.3	0
346.98	0
347.65	12.828
348.33	0
349.02	13.755
349.69	19.612
350.37	29.382
351.04	7.816
351.72	52.651
352.4	68.224
353.07	134.466
353.75	129.72
354.42	147.42
355.1	134.722
355.77	290.97
356.45	510.998
357.13	775.062
357.81	781.039
358.49	410.149
359.16	163.489
359.84	35.805
360.51	48.355
361.19	29.014
361.86	18.355
362.54	13.525
363.21	0
363.89	16.436
364.56	0
365.24	7.674
365.91	12.358
366.59	27.27
367.27	0
367.95	3.702
368.62	0
369.29	19.302
369.97	9.195
370.64	14.775
371.32	9.236
371.99	21.193
372.67	13.791
373.34	39.328
374.01	63.482
374.69	107.618
375.36	118.889
376.03	82.821
376.72	40.242
377.39	45.828
378.07	77.566
378.74	145.832
379.41	237.328
380.09	341.031
380.76	267.564
381.43	83.315
382.11	52.812
382.78	9.781
383.45	0
384.12	4.847
384.8	5.608
385.48	9.55
386.15	0
386.83	0.775
387.5	25.094
388.17	19.55
388.84	26.415
389.52	12.236
390.19	44.571
390.86	61.691
391.53	60.695
392.21	22.655
392.88	28.707
393.55	15.84
394.22	12.373
394.9	15.351
395.58	0
396.25	25.638
396.92	0
397.59	34.34
398.26	21.863
398.94	41.535
399.61	50.52

